Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.decode_runs.100,3268751231,44176674,8274087,139793,15728640
All.decode_runs.1_000,38026567400,1488906880,90719165,3092979,15728640
All.decode_runs.10_000,435083669600,28193895996,1005529580,57755033,27262976
All.decode_runs_error.100,2801925593,91339812,6518436,122271,27262976
All.decode_runs_error.1_000,30824117350,2193708128,62790767,2344880,27262976
All.decode_runs_error.10_000,285453837300,13889590482,625236774,29455121,34603008
All.strip_comments.100.bytestring,118922476,9704022,178368,22,34603008
All.strip_comments.100.megaparsec_auto,122058858,6980332,188451,160,34603008
All.strip_comments.100.megaparsec_manual,121121203,3316186,188912,162,34603008
All.strip_comments.1_000.bytestring,1100356456,94865630,1743805,257,34603008
All.strip_comments.1_000.megaparsec_auto,1175046825,93706872,1753790,1529,34603008
All.strip_comments.1_000.megaparsec_manual,1170095887,86927812,1754324,1527,34603008
All.strip_comments.10_000.bytestring,8649329112,379576898,17392135,1723,34603008
All.strip_comments.10_000.megaparsec_auto,11638810800,677419476,17405539,8447,34603008
All.strip_comments.10_000.megaparsec_manual,11763668950,1065773054,17405645,8358,34603008
